total_return_pct,final_capital,trades,win_rate,profit_factor,avg_win,avg_loss,best_trade,worst_trade,max_drawdown,long_trades,short_trades,liquidated,st_period,st_mult,ao_fast,ao_slow,vol_threshold,sl_atr_mult,ts_activation,ts_trail_atr_mult
44.13,144.13,43,58.14,1.19,2.821,-3.285,6.4312,-5.2924,-45.84,25,18,False,14,2.0,5,34,1.5,3.0,3.0,2.0
44.11,144.11,53,64.15,1.21,2.2525,-3.3368,8.5397,-6.4505,-23.19,27,26,False,10,2.0,7,21,1.3,4.0,2.0,2.0
43.69,143.69,49,44.9,1.08,2.8408,-2.1413,6.1059,-3.4947,-40.02,29,20,False,14,2.0,7,34,1.3,2.0,3.0,2.0
43.38,143.38,47,51.06,1.12,2.6437,-2.4718,7.6879,-5.1589,-41.34,27,20,False,7,2.0,7,21,1.3,3.0,3.0,3.0
42.82,142.82,41,60.98,1.11,2.1797,-3.0634,6.4713,-4.8379,-30.91,23,18,False,10,2.0,7,21,1.5,3.0,2.0,2.0
42.74,142.74,53,58.49,1.16,2.5609,-3.1048,7.6523,-6.4505,-31.0,27,26,False,10,2.0,7,21,1.3,4.0,3.0,3.0
42.73,142.73,52,59.62,1.07,3.0317,-4.1978,6.8312,-7.0565,-38.88,28,24,False,14,2.0,5,34,1.3,4.0,3.0,1.5
42.71,142.71,54,42.59,1.11,3.2193,-2.1591,6.8312,-3.5283,-47.32,29,25,False,14,2.0,5,34,1.3,2.0,3.0,1.5
42.5,142.5,40,62.5,1.14,2.6285,-3.8402,4.512,-6.4505,-28.41,22,18,False,10,2.0,7,21,1.5,4.0,3.0,1.5
42.44,142.44,40,62.5,1.21,2.3016,-3.1644,6.1059,-4.0774,-33.57,24,16,False,14,2.0,7,34,1.5,3.0,2.0,2.0
42.21,142.21,36,58.33,1.13,2.5394,-3.1328,6.0509,-5.1589,-28.63,23,13,False,7,2.0,7,21,1.5,3.0,3.0,2.0
41.67,141.67,40,62.5,1.21,2.6933,-3.7179,7.7287,-5.4366,-29.21,24,16,False,14,2.0,7,34,1.5,4.0,3.0,3.0
40.96,140.96,49,40.82,1.07,3.1726,-2.0398,7.5581,-3.4947,-41.57,29,20,False,14,2.0,7,34,1.3,2.0,3.0,3.0
40.83,140.83,34,64.71,1.08,2.8505,-4.8364,8.2977,-6.8368,-38.29,20,14,False,7,2.0,5,34,1.5,4.0,2.0,2.0
40.47,140.47,34,61.76,1.08,3.1713,-4.7456,8.2977,-6.8368,-39.21,20,14,False,7,2.0,5,34,1.5,4.0,3.0,2.0
